日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-06-22,53.93,55.8,53.93,54.96,2203184.0,122615413.0,39561559.0,0.0557
2020-06-23,54.96,55.72,54.5,54.64,1383248.0,76756498.0,39561559.0,0.035
2020-06-24,54.45,57.32,54.06,56.79,2816845.0,159993376.0,39561559.0,0.0712
2020-06-29,57.02,57.02,54.65,54.78,2052680.0,114907247.0,39561559.0,0.0519
2020-06-30,55.35,56.11,54.81,55.35,1440086.0,80498498.0,39561559.0,0.0364
2020-07-01,55.54,57.01,55.22,55.89,1961237.0,110870005.0,39561559.0,0.0496
2020-07-02,55.77,58.22,55.51,57.53,2928540.0,168401439.0,39561559.0,0.074
2020-07-03,57.53,57.94,56.13,56.83,2188684.0,125481192.0,39561559.0,0.0553
2020-07-06,57.61,64.25,57.61,61.91,4647702.0,286525391.0,39561559.0,0.1175
2020-07-07,63.0,64.54,62.02,62.11,4837073.0,308994332.0,39561559.0,0.1223
2020-07-08,62.11,63.01,60.53,62.21,3375976.0,210366467.0,39561559.0,0.0853
2020-07-09,62.38,67.44,62.19,66.83,5287481.0,347354793.0,39561559.0,0.1337
2020-07-10,66.47,71.79,64.98,68.96,6899156.0,482806741.0,39561559.0,0.1744
2020-07-13,69.65,72.43,69.65,71.1,5056050.0,361904092.0,39561559.0,0.1278
2020-07-14,71.43,71.43,66.58,69.27,4378051.0,304539620.0,39561559.0,0.1107
2020-07-15,69.4,69.91,63.0,63.1,3914445.0,258317924.0,39561559.0,0.0989
2020-07-16,63.1,63.1,56.73,56.96,3832697.0,230870124.0,39561559.0,0.0969
2020-07-17,57.25,58.48,56.06,57.04,2033964.0,117606211.0,39561559.0,0.0514
2020-07-20,57.64,58.18,55.1,57.94,1844551.0,105079927.0,39561559.0,0.0466
2020-07-21,58.19,59.51,57.32,57.91,1513991.0,88894179.0,39561559.0,0.0383
2020-07-22,57.91,58.5,55.88,56.08,2249975.0,129584514.0,39561559.0,0.0569
2020-07-23,55.56,56.05,52.88,53.94,2178705.0,118980634.0,39561559.0,0.0551
2020-07-24,53.38,53.38,49.64,49.64,2374440.0,122896025.0,39561559.0,0.06
2020-07-27,49.67,51.08,49.67,50.0,947627.0,48014065.0,39561559.0,0.024
2020-07-28,50.84,51.74,50.7,51.13,963972.0,49625890.0,39561559.0,0.0244
2020-07-29,51.07,53.68,50.98,53.68,1473124.0,78370532.0,39561559.0,0.0372
2020-07-30,54.26,54.35,52.11,52.46,1165126.0,62142980.0,39561559.0,0.0295
2020-07-31,52.25,53.46,52.23,52.95,1237504.0,65983039.0,39561559.0,0.0313
2020-08-03,53.03,55.5,53.03,55.22,1760978.0,96903908.0,39561559.0,0.0445
2020-08-04,55.24,55.69,53.38,53.77,1456408.0,79472077.0,39561559.0,0.0368
2020-08-05,56.9,57.74,55.61,55.84,2697362.0,153248457.0,39561559.0,0.0682
2020-08-06,55.02,56.82,54.62,55.32,1541328.0,86044284.0,39561559.0,0.039
2020-08-07,54.57,54.99,51.38,51.79,2253849.0,119817983.0,39561559.0,0.057
2020-08-10,49.48,51.83,49.48,51.08,3004162.0,153488714.0,211534414.0,0.0142
2020-08-11,50.61,51.54,49.95,50.22,1574430.0,80511848.0,211534414.0,0.0074
2020-08-12,50.9,50.93,48.97,49.71,1619599.0,80873649.0,211534414.0,0.0077
2020-08-13,50.14,50.14,49.28,49.74,1281730.0,64107519.0,211534414.0,0.0061
2020-08-14,49.73,49.94,49.01,49.26,1197909.0,59582389.0,211534414.0,0.0057
2020-08-17,49.61,49.73,49.28,49.46,2312221.0,115380698.0,211534414.0,0.0109
2020-08-18,49.89,56.55,49.59,55.11,10551471.0,567906421.0,211534414.0,0.0499
2020-08-19,54.86,57.7,52.88,53.39,7001506.0,391550351.0,211534414.0,0.0331
2020-08-20,52.8,53.15,51.29,51.79,3112107.0,163706777.0,211534414.0,0.0147
2020-08-21,52.21,54.04,51.27,52.79,5869464.0,312829922.0,211534414.0,0.0277
2020-08-24,53.57,53.72,51.88,53.03,3639618.0,194209311.0,211534414.0,0.0172
2020-08-25,53.08,54.26,50.6,50.8,3871970.0,204174591.0,211534414.0,0.0183
2020-08-26,51.59,56.28,51.39,54.84,11531859.0,629906746.0,211534414.0,0.0545
2020-08-27,53.37,58.54,51.09,57.54,10960412.0,610944216.0,211534414.0,0.0518
2020-08-28,57.56,65.48,57.56,61.02,12854912.0,804812151.0,211534414.0,0.0608
2020-08-31,61.83,65.84,61.02,63.6,7173616.0,464891540.0,211534414.0,0.0339
2020-09-01,63.92,64.58,60.52,63.5,6416247.0,405648227.0,211534414.0,0.0303
2020-09-02,62.94,65.29,60.98,63.6,5173979.0,327691947.0,211534414.0,0.0245
2020-09-03,63.39,66.26,62.64,66.22,4487509.0,294465027.0,211534414.0,0.0212
2020-09-04,63.6,66.66,62.8,63.5,3330880.0,216270308.0,211534414.0,0.0157
2020-09-07,62.96,65.93,61.51,61.51,4703947.0,299497209.0,211534414.0,0.0222
2020-09-08,61.51,62.31,57.69,59.92,3409196.0,204850269.0,211534414.0,0.0161
2020-09-09,59.72,59.72,57.05,57.74,2412721.0,141415418.0,211534414.0,0.0114
2020-09-10,58.54,59.25,55.17,56.85,3560735.0,203870237.0,211534414.0,0.0168
2020-09-11,56.35,58.5,55.68,58.43,1536962.0,88587357.0,211534414.0,0.0073
2020-09-14,60.02,60.53,58.25,60.53,3374813.0,201485135.0,211534414.0,0.016
2020-09-15,60.42,60.5,58.83,59.25,2029648.0,121680874.0,211534414.0,0.0096
2020-09-16,59.25,59.91,57.99,58.23,1200896.0,70880249.0,211534414.0,0.0057
2020-09-17,58.37,62.04,57.89,61.81,4650614.0,283120648.0,211534414.0,0.022
2020-09-18,62.31,62.31,60.08,61.28,2196721.0,134744733.0,211534414.0,0.0104
2020-09-21,61.89,64.12,61.27,63.78,2776704.0,177323515.0,211534414.0,0.0131
2020-09-22,60.47,64.49,60.47,62.24,2609330.0,164697450.0,211534414.0,0.0123
2020-09-23,63.09,64.87,62.14,64.87,3559158.0,230730593.0,211534414.0,0.0168
2020-09-24,63.92,64.58,62.5,63.29,2051854.0,130873561.0,211534414.0,0.0097
2020-09-25,63.28,63.68,62.01,63.65,1298026.0,82135053.0,211534414.0,0.0061
2020-09-28,63.5,66.16,62.01,64.71,3764539.0,246807659.0,211534414.0,0.0178
2020-09-29,64.71,66.32,64.25,66.22,2900422.0,192179244.0,211534414.0,0.0137
2020-09-30,66.03,67.46,65.49,66.57,3235076.0,216481589.0,211534414.0,0.0153
2020-10-09,67.45,69.4,66.47,67.34,2714161.0,185286603.0,211534414.0,0.0128
2020-10-12,67.3,71.61,67.3,69.5,4711539.0,330817512.0,211534414.0,0.0223
2020-10-13,71.64,74.07,69.62,74.07,6175797.0,452422366.0,211534414.0,0.0292
2020-10-14,74.84,79.3,70.91,71.25,6735180.0,509059798.0,211534414.0,0.0318
2020-10-15,71.23,73.09,68.75,69.37,4738435.0,335191238.0,211534414.0,0.0224
2020-10-16,71.43,73.13,67.46,69.45,5496366.0,390587340.0,211534414.0,0.026
2020-10-19,70.07,70.24,66.87,68.28,4136487.0,285903466.0,211534414.0,0.0196
2020-10-20,68.04,69.81,66.32,69.33,2860839.0,196028848.0,211534414.0,0.0135
2020-10-21,69.45,70.7,67.96,69.3,2575850.0,180562928.0,211534414.0,0.0122
2020-10-22,69.25,71.24,67.68,70.02,1802950.0,127289670.0,211534414.0,0.0085
2020-10-23,69.93,70.87,66.97,67.67,2438239.0,168525434.0,211534414.0,0.0115
2020-10-26,67.84,70.61,66.46,69.45,2006013.0,139448631.0,211534414.0,0.0095
2020-10-27,69.45,73.24,69.0,72.33,2476476.0,179280052.0,211534414.0,0.0117
2020-10-28,72.78,73.11,71.62,71.73,1602585.0,116700029.0,211534414.0,0.0076
2020-10-29,71.35,73.79,69.99,73.17,2024332.0,146631875.0,211534414.0,0.0096
2020-10-30,73.88,74.81,72.33,73.02,1556936.0,115451494.0,211534414.0,0.0074
2020-11-02,73.78,75.96,72.83,75.96,1816929.0,136775909.0,211534414.0,0.0086
2020-11-03,75.96,76.79,74.93,76.2,1623027.0,124106981.0,211534414.0,0.0077
2020-11-04,75.41,76.55,73.6,74.35,1897581.0,142623910.0,211534414.0,0.009
2020-11-05,75.92,75.92,67.66,69.3,3889735.0,274618801.0,211534414.0,0.0184
2020-11-06,69.07,70.4,68.61,68.69,1410600.0,98849399.0,211534414.0,0.0067
2020-11-09,68.69,70.78,65.63,68.62,3284870.0,226356720.0,211534414.0,0.0155
2020-11-10,68.31,69.11,66.58,67.91,1613220.0,110770243.0,211534414.0,0.0076
2020-11-11,68.5,70.0,66.76,69.48,1860137.0,129328858.0,211534414.0,0.0088
2020-11-12,70.0,70.25,66.95,67.79,1469979.0,100749918.0,211534414.0,0.0069
2020-11-13,66.82,70.41,66.43,69.45,1510387.0,104808497.0,211534414.0,0.0071
2020-11-16,75.19,75.19,69.33,71.87,2901510.0,207575272.0,211534414.0,0.0137
2020-11-17,71.78,74.1,70.74,71.66,1848480.0,135064987.0,211534414.0,0.0087
2020-11-18,71.73,74.27,70.5,73.24,1697804.0,124953648.0,211534414.0,0.008
2020-11-19,73.23,74.98,72.56,72.96,1406345.0,104746961.0,211534414.0,0.0066
2020-11-20,73.41,74.35,72.03,73.6,1326046.0,97871328.0,211534414.0,0.0063
2020-11-23,74.32,74.32,72.06,72.46,1748534.0,128219285.0,211534414.0,0.0083
2020-11-24,72.46,74.89,72.13,72.71,1509483.0,111723087.0,211534414.0,0.0071
2020-11-25,73.67,73.67,67.66,68.75,3535048.0,247453782.0,211534414.0,0.0167
2020-11-26,68.75,69.66,66.77,67.19,1221057.0,83512880.0,211534414.0,0.0058
2020-11-27,68.02,68.84,66.75,67.24,1126355.0,76644549.0,211534414.0,0.0053
2020-11-30,68.11,69.83,66.77,69.32,2539972.0,176025183.0,211534414.0,0.012
2020-12-01,69.05,69.79,68.26,69.28,1888988.0,131717396.0,211534414.0,0.0089
2020-12-02,69.37,70.74,68.14,70.06,2569402.0,180133251.0,211534414.0,0.0121
2020-12-03,70.64,71.04,69.35,69.92,1242458.0,87603839.0,211534414.0,0.0059
2020-12-04,69.92,70.12,68.16,69.28,1603759.0,111909151.0,211534414.0,0.0076
2020-12-07,69.65,70.54,69.14,69.85,2002611.0,140851169.0,211534414.0,0.0095
2020-12-08,69.27,71.42,69.27,70.84,2306919.0,164102626.0,211534414.0,0.0109
2020-12-09,70.44,73.29,70.14,72.15,4545639.0,331098016.0,211534414.0,0.0215
2020-12-10,72.92,75.43,71.67,75.0,4776185.0,358187514.0,211534414.0,0.0226
2020-12-11,74.41,81.32,73.91,81.32,7879928.0,624131861.0,211534414.0,0.0373
2020-12-14,79.38,81.37,78.98,81.26,3843205.0,311000388.0,211534414.0,0.0182
2020-12-15,81.16,82.89,79.67,81.92,3032434.0,250428121.0,211534414.0,0.0143
2020-12-16,82.97,83.03,80.87,82.35,2578659.0,213580416.0,211534414.0,0.0122
2020-12-17,82.16,83.27,80.63,82.54,2834534.0,235424769.0,211534414.0,0.0134
2020-12-18,82.91,83.12,81.26,81.3,2127512.0,175883515.0,211534414.0,0.0101
2020-12-21,81.4,83.57,80.63,81.7,2975034.0,246099666.0,211534414.0,0.0141
2020-12-22,80.74,81.9,77.98,78.62,3727910.0,301048718.0,211534414.0,0.0176
2020-12-23,79.37,80.36,76.97,77.98,3743269.0,297871525.0,211534414.0,0.0177
2020-12-24,77.93,79.2,74.01,74.59,2877078.0,219988224.0,211534414.0,0.0136
2020-12-25,75.2,75.2,72.44,72.62,1980077.0,145998658.0,211534414.0,0.0094
2020-12-28,72.82,72.92,70.42,72.03,2742298.0,198350549.0,211534414.0,0.013
2020-12-29,72.52,75.9,71.64,74.42,2782778.0,208471077.0,211534414.0,0.0132
2020-12-30,74.72,78.82,73.11,76.89,3507821.0,272279717.0,211534414.0,0.0166
2020-12-31,76.89,80.16,75.95,78.11,3219106.0,252790207.0,211534414.0,0.0152
2021-01-04,78.71,79.05,73.92,74.55,3739729.0,286434065.0,211534414.0,0.0177
2021-01-05,74.82,76.32,73.42,75.15,2618011.0,197116187.0,211534414.0,0.0124
2021-01-06,75.4,75.4,71.33,74.0,3140456.0,230929069.0,211534414.0,0.0148
2021-01-07,74.41,75.77,72.43,73.52,3342539.0,249772247.0,211534414.0,0.0158
2021-01-08,73.17,77.5,72.6,76.71,3826795.0,292023466.0,211534414.0,0.0181
2021-01-11,77.17,77.38,73.26,76.08,3418499.0,258268807.0,211534414.0,0.0162
2021-01-12,76.1,80.15,75.9,77.59,3456078.0,272145126.0,211534414.0,0.0163
2021-01-13,78.41,78.41,73.72,74.13,1975463.0,149491360.0,211534414.0,0.0093
2021-01-14,76.47,78.33,71.99,76.36,3238862.0,246723772.0,211534414.0,0.0153
2021-01-15,76.97,77.72,74.22,75.63,3018273.0,231211239.0,211534414.0,0.0143
2021-01-18,76.04,79.69,76.04,79.08,3903095.0,310886537.0,211534414.0,0.0185
2021-01-19,79.07,79.7,77.09,78.05,1658760.0,130571705.0,211534414.0,0.0078
2021-01-20,78.28,81.5,77.41,79.9,2154137.0,173311849.0,211534414.0,0.0102
2021-01-21,80.31,81.26,76.99,77.52,2291842.0,180851326.0,211534414.0,0.0108
2021-01-22,77.68,80.24,75.35,79.79,2326353.0,182058512.0,211534414.0,0.011
2021-01-25,79.08,80.33,76.85,79.28,2469918.0,195546702.0,211534414.0,0.0117
2021-01-26,80.07,86.15,79.39,81.65,4052787.0,338890768.0,211534414.0,0.0192
2021-01-27,81.58,84.78,80.78,84.03,3058372.0,256707053.0,211534414.0,0.0145
2021-01-28,82.35,85.2,79.77,80.86,2562344.0,212520826.0,211534414.0,0.0121
2021-01-29,80.86,81.7,76.54,79.53,2924928.0,233466451.0,211534414.0,0.0138
2021-02-01,79.62,84.32,78.68,80.96,2621399.0,217415247.0,211534414.0,0.0124
2021-02-02,82.3,84.99,79.97,84.33,2830305.0,237300230.0,211534414.0,0.0134
2021-02-03,84.88,85.03,80.91,84.23,2687572.0,225135710.0,211534414.0,0.0127
2021-02-04,82.72,85.7,82.35,82.79,2809239.0,237668355.0,211534414.0,0.0133
2021-02-05,83.19,92.17,82.15,89.81,4893011.0,438911682.0,211534414.0,0.0231
2021-02-08,89.49,91.62,87.49,88.85,2663017.0,238922442.0,211534414.0,0.0126
2021-02-09,89.19,90.54,87.31,89.47,2429983.0,218365251.0,211534414.0,0.0115
2021-02-10,90.24,91.16,87.72,89.6,2402061.0,216745722.0,211534414.0,0.0114
2021-02-18,91.57,92.15,85.92,89.09,2699796.0,240112051.0,211534414.0,0.0128
2021-02-19,88.2,94.0,86.81,93.29,3112581.0,285047604.0,211534414.0,0.0147
2021-02-22,94.14,94.9,90.78,93.5,2607154.0,243784401.0,211534414.0,0.0123
2021-02-23,92.27,100.06,91.55,98.5,3156638.0,308440341.0,211534414.0,0.0149
2021-02-24,98.22,100.26,95.44,96.24,3354126.0,331432380.0,211534414.0,0.0159
2021-02-25,96.34,97.67,89.09,91.87,3768209.0,349413493.0,211534414.0,0.0178
2021-02-26,90.21,95.98,90.21,91.19,3175100.0,295556997.0,211534414.0,0.015
2021-03-01,92.63,96.32,89.29,90.07,3832172.0,352220965.0,211534414.0,0.0181
2021-03-02,90.77,90.77,86.56,86.71,3415980.0,302946713.0,211534414.0,0.0161
2021-03-03,86.52,88.88,85.93,87.07,1805564.0,159288173.0,211534414.0,0.0085
2021-03-04,87.31,88.28,83.88,85.67,3111103.0,267712993.0,211534414.0,0.0147
2021-03-05,86.52,86.95,82.64,83.76,3288956.0,278018512.0,211534414.0,0.0155
2021-03-08,83.62,84.78,82.1,82.74,2835951.0,237876120.0,211534414.0,0.0134
2021-03-09,82.38,84.92,81.91,82.35,2002341.0,167518216.0,211534414.0,0.0095
2021-03-10,82.4,83.11,79.73,80.26,2691426.0,219582813.0,211534414.0,0.0127
2021-03-11,80.84,81.95,79.17,80.84,2359214.0,191249146.0,211534414.0,0.0112
2021-03-12,80.86,82.94,79.37,82.74,1889975.0,155044158.0,211534414.0,0.0089
2021-03-15,82.0,84.29,79.97,83.44,1935120.0,161375718.0,211534414.0,0.0091
2021-03-16,82.46,83.77,81.21,82.61,1495609.0,124746661.0,211534414.0,0.0071
2021-03-17,82.35,85.62,80.96,85.11,2121842.0,179416879.0,211534414.0,0.01
2021-03-18,85.11,85.9,83.44,84.63,1263315.0,108033205.0,211534414.0,0.006
2021-03-19,84.36,85.4,82.0,84.65,1297464.0,109248524.0,211534414.0,0.0061
2021-03-22,83.79,85.25,83.05,84.23,974398.0,83001281.0,211534414.0,0.0046
2021-03-23,84.36,89.08,84.36,88.07,2458886.0,217851050.0,211534414.0,0.0116
2021-03-24,88.07,89.66,85.58,85.95,1748008.0,154215900.0,211534414.0,0.0083
2021-03-25,86.29,87.56,85.57,87.2,996185.0,87105491.0,211534414.0,0.0047
2021-03-26,87.69,87.69,86.04,86.68,951236.0,83343487.0,211534414.0,0.0045
2021-03-29,87.73,87.73,84.53,84.54,1245289.0,106897150.0,211534414.0,0.0059
2021-03-30,84.52,85.32,79.57,81.26,1901756.0,155694978.0,211534414.0,0.009
2021-03-31,80.57,82.7,79.46,81.56,1450690.0,118413102.0,211534414.0,0.0069
2021-04-01,80.57,84.66,80.56,81.65,1404699.0,116756597.0,211534414.0,0.0066
2021-04-02,82.67,84.63,81.34,83.36,2295213.0,192028031.0,211534414.0,0.0109
2021-04-06,84.71,85.98,83.42,84.7,1844023.0,157546752.0,211534414.0,0.0087
2021-04-07,85.97,85.97,83.54,85.35,1618088.0,138803057.0,211534414.0,0.0076
2021-04-08,85.45,87.89,84.41,85.91,2059909.0,179410064.0,211534414.0,0.0097
2021-04-09,86.22,86.58,83.57,85.91,1417624.0,121976153.0,211534414.0,0.0067
2021-04-12,85.32,87.62,84.7,85.87,1767809.0,153376600.0,211534414.0,0.0084
2021-04-13,86.58,89.49,85.87,88.55,2453800.0,218776221.0,211534414.0,0.0116
2021-04-14,89.49,89.53,87.42,87.82,1334971.0,118537241.0,211534414.0,0.0063
2021-04-15,87.53,87.97,86.51,87.41,1281266.0,112587654.0,211534414.0,0.0061
2021-04-16,88.18,94.5,86.53,94.3,3630591.0,336709144.0,211534414.0,0.0172
2021-04-19,95.24,96.23,92.79,95.33,2820086.0,269847056.0,211534414.0,0.0133
2021-04-20,96.24,99.06,94.8,97.08,2104974.0,206680516.0,211534414.0,0.01
2021-04-21,96.35,100.62,96.35,99.02,2124434.0,211915458.0,211534414.0,0.01
2021-04-22,99.33,100.53,97.27,97.75,1699797.0,168513568.0,211534414.0,0.008
2021-04-23,98.2,102.83,97.24,102.61,1887011.0,192850306.0,211534414.0,0.0089
2021-04-26,102.68,103.13,100.02,101.2,1719068.0,176247559.0,211534414.0,0.0081
2021-04-27,101.08,104.02,100.03,103.36,1685689.0,175039950.0,211534414.0,0.008
2021-04-28,100.73,104.79,100.73,104.56,1438543.0,150058890.0,211534414.0,0.0068
2021-04-29,97.85,101.94,88.18,92.49,9919627.0,924123153.0,211534414.0,0.0469
2021-04-30,89.74,93.39,89.04,90.6,3666836.0,336594188.0,211534414.0,0.0173
2021-05-06,92.2,92.66,88.68,89.99,2354598.0,214782290.0,211534414.0,0.0111
2021-05-07,91.03,91.28,85.02,85.03,2462778.0,217520775.0,211534414.0,0.0116
2021-05-10,85.79,86.29,82.47,84.43,2147962.0,183061162.0,211534414.0,0.0102
2021-05-11,84.33,84.93,82.77,84.23,1420752.0,120227995.0,211534414.0,0.0067
2021-05-12,84.23,84.23,80.88,83.34,1572761.0,131190102.0,211534414.0,0.0074
2021-05-13,83.32,85.8,82.86,84.56,1379653.0,117118798.0,211534414.0,0.0065
2021-05-14,83.39,86.2,82.9,84.84,1547115.0,131436910.0,211534414.0,0.0073
2021-05-17,84.81,86.66,83.47,85.48,1909297.0,164076367.0,211534414.0,0.009
2021-05-18,85.82,85.91,81.4,82.41,1627654.0,136313393.0,211534414.0,0.0077
2021-05-19,83.15,85.69,82.41,83.29,1283266.0,108349424.0,211534414.0,0.0061
2021-05-20,82.92,85.3,82.36,82.48,1217347.0,102699185.0,211534414.0,0.0058
2021-05-21,82.3,84.83,77.99,78.33,2668388.0,216292682.0,211534414.0,0.0126
2021-05-24,78.38,82.35,78.06,81.9,2816590.0,229264929.0,211534414.0,0.0133
2021-05-25,81.55,90.06,81.13,86.11,3357016.0,292867502.0,211534414.0,0.0159
2021-05-26,86.62,87.06,83.69,84.88,1810824.0,154415709.0,211534414.0,0.0086
2021-05-27,84.61,88.99,83.44,85.0,2275322.0,198017508.0,211534414.0,0.0108
2021-05-28,85.32,86.07,83.52,84.83,1433526.0,121894264.0,211534414.0,0.0068
2021-05-31,85.32,86.0,83.17,85.08,1829023.0,156914959.0,211534414.0,0.0086
2021-06-01,85.44,89.64,84.63,87.37,3289301.0,292071608.0,211534414.0,0.0155
2021-06-02,87.37,88.89,84.83,85.32,1724790.0,150335829.0,211534414.0,0.0082
2021-06-03,85.41,90.33,82.84,88.95,2923907.0,257980687.0,211534414.0,0.0138
2021-06-04,88.3,91.72,86.07,91.21,2450504.0,221770668.0,211534414.0,0.0116
2021-06-07,92.27,97.12,91.73,93.26,2881068.0,273696085.0,211534414.0,0.0136
2021-06-08,94.9,94.9,90.46,91.17,2286651.0,212117776.0,211534414.0,0.0108
2021-06-09,90.68,92.26,89.34,90.78,1563863.0,143029661.0,211534414.0,0.0074
2021-06-10,90.2,91.53,88.85,89.59,1842003.0,166998772.0,211534414.0,0.0087
2021-06-11,89.39,91.03,85.82,87.16,3752429.0,329358937.0,211534414.0,0.0177
2021-06-15,87.01,93.06,87.01,91.07,4029471.0,370143007.0,211534414.0,0.019
2021-06-16,91.87,94.85,87.47,89.78,3267501.0,298958806.0,211534414.0,0.0154
2021-06-17,89.29,97.43,88.5,97.03,4554988.0,435931301.0,211534414.0,0.0215
2021-06-18,97.72,101.68,97.33,97.68,5006853.0,502341973.0,211534414.0,0.0237
2021-06-21,96.41,108.09,96.37,105.7,5492307.0,577603626.0,211534414.0,0.026
2021-06-22,104.5,109.36,103.18,106.02,4562921.0,489812885.0,211534414.0,0.0216
2021-06-23,107.2,111.61,105.09,109.41,7207043.0,796835141.0,211534414.0,0.0341
2021-06-24,107.75,111.11,103.97,104.43,4047021.0,435128737.0,211534414.0,0.0191
2021-06-25,105.66,106.13,101.2,104.27,3455794.0,361644280.0,211534414.0,0.0163
2021-06-28,105.17,106.85,103.28,105.82,3844544.0,408553149.0,211534414.0,0.0182
2021-06-29,106.64,106.64,100.2,103.93,3529826.0,366940745.0,211534414.0,0.0167
2021-06-30,103.97,111.86,103.97,111.32,7152631.0,790756897.0,211534414.0,0.0338
2021-07-01,111.12,111.12,104.35,107.54,3697321.0,402785838.0,211534414.0,0.0175
2021-07-02,107.26,108.69,103.78,106.74,1986579.0,212201338.0,211534414.0,0.0094
2021-07-05,108.48,115.09,107.15,112.11,4935765.0,557180183.0,211534414.0,0.0233
2021-07-06,113.1,113.1,103.62,105.22,4558840.0,488289623.0,211534414.0,0.0216
2021-07-07,103.36,105.64,100.17,104.27,2604181.0,271949417.0,211534414.0,0.0123
2021-07-08,105.16,113.49,104.05,111.67,4912979.0,537633275.0,211534414.0,0.0232
2021-07-09,111.71,111.71,104.17,106.61,4136454.0,445684924.0,211534414.0,0.0196
2021-07-12,109.13,109.7,101.2,103.76,4480132.0,469269394.0,211534414.0,0.0212
2021-07-13,102.72,105.66,98.78,101.13,4481029.0,460359618.0,211534414.0,0.0212
2021-07-14,99.31,103.55,96.84,97.72,4369694.0,434675575.0,211534414.0,0.0207
2021-07-15,97.42,100.99,96.73,97.34,2806117.0,278080329.0,211534414.0,0.0133
2021-07-16,100.18,100.18,94.81,95.24,3119691.0,304036116.0,211534414.0,0.0147
2021-07-19,94.33,100.82,93.36,99.72,2993696.0,298254552.0,211534414.0,0.0142
2021-07-20,99.2,101.84,98.47,100.85,2027394.0,205952531.0,211534414.0,0.0096
2021-07-21,102.93,105.05,99.44,103.28,2985988.0,310436374.0,211534414.0,0.0141
2021-07-22,104.03,116.08,101.47,113.45,6076334.0,667931181.0,211534414.0,0.0287
2021-07-23,119.38,132.27,119.38,127.76,8113360.0,1032162644.0,211534414.0,0.0384
2021-07-26,127.74,130.96,124.02,130.46,7140341.0,922304428.0,211534414.0,0.0338
2021-07-27,132.24,139.39,126.0,133.71,9805869.0,1328531367.0,211534414.0,0.0464
2021-07-28,128.28,132.65,122.03,126.6,5601703.0,711948888.0,211534414.0,0.0265
2021-07-29,130.96,131.95,126.5,130.02,4932694.0,643594107.0,211534414.0,0.0233
2021-07-30,131.95,131.95,122.13,125.31,5465300.0,694676752.0,211534414.0,0.0258
2021-08-02,126.24,128.2,121.75,124.31,4183121.0,524989174.0,211534414.0,0.0198
2021-08-03,124.59,124.99,111.32,112.21,6311669.0,735291827.0,211534414.0,0.0298
2021-08-04,112.41,117.07,111.8,115.18,4577899.0,531119824.0,211534414.0,0.0216
2021-08-05,116.57,117.75,112.33,113.59,3493713.0,402786486.0,211534414.0,0.0165
2021-08-06,115.09,116.75,109.43,111.94,3396263.0,382970644.0,211534414.0,0.0161
2021-08-09,111.2,112.4,107.85,110.13,2867308.0,317007930.0,213092855.00000003,0.0135
2021-08-10,110.12,112.61,105.66,110.77,6365862.0,696183356.0,213092855.00000003,0.0299
2021-08-11,112.89,112.89,102.19,109.97,5837064.0,632603897.0,213092855.00000003,0.0274
2021-08-12,107.15,115.78,107.15,112.22,3749869.0,422956145.0,213092855.00000003,0.0176
2021-08-13,113.04,113.04,105.17,107.11,3752906.0,405126220.0,213092855.00000003,0.0176
2021-08-16,106.26,110.54,106.06,108.84,2930276.0,321116569.0,213092855.00000003,0.0138
2021-08-17,108.94,115.02,107.65,111.17,4747480.0,536137994.0,213092855.00000003,0.0223
2021-08-18,112.77,113.57,106.29,107.15,3210709.0,351242074.0,213092855.00000003,0.0151
2021-08-19,107.03,116.26,107.03,114.34,4067989.0,465092775.0,213092855.00000003,0.0191
2021-08-20,112.29,118.94,111.24,117.0,3939331.0,461372914.0,213092855.00000003,0.0185
2021-08-23,116.59,118.28,113.2,116.03,4255395.0,495141364.0,213092855.00000003,0.02
2021-08-24,118.86,118.96,112.12,114.69,3535134.0,411997784.0,213092855.00000003,0.0166
2021-08-25,115.02,118.86,112.52,117.86,3027042.0,355860666.0,213092855.00000003,0.0142
2021-08-26,117.31,124.01,113.21,113.57,3208040.0,382435061.0,213092855.00000003,0.0151
2021-08-27,113.1,116.57,110.13,110.87,3388765.0,383441416.0,213092855.00000003,0.0159
2021-08-30,111.63,115.08,105.17,107.15,3929181.0,433298843.0,213092855.00000003,0.0184
2021-08-31,107.15,109.13,101.69,103.48,4340547.0,457204388.0,213092855.00000003,0.0204
2021-09-01,102.07,108.14,101.53,106.19,4353161.0,457917407.0,213092855.00000003,0.0204
2021-09-02,104.62,108.42,102.19,103.68,3554844.0,374954807.0,213092855.00000003,0.0167
2021-09-03,103.78,108.64,102.69,105.95,3325625.0,354800314.0,213092855.00000003,0.0156
2021-09-06,105.36,108.45,103.83,106.17,3229181.0,345375088.0,213092855.00000003,0.0152
2021-09-07,107.14,109.91,102.76,105.82,3254386.0,345680054.0,213092855.00000003,0.0153
2021-09-08,105.77,109.64,100.2,101.7,4297251.0,447491053.0,213092855.00000003,0.0202
2021-09-09,101.6,103.67,100.39,102.19,2317629.0,238784899.0,213092855.00000003,0.0109
2021-09-10,100.79,113.2,100.79,111.61,4359779.0,472716014.0,213092855.00000003,0.0205
2021-09-13,111.65,113.2,107.16,108.17,3588191.0,395019442.0,213092855.00000003,0.0168
2021-09-14,110.13,113.66,106.5,107.11,2678670.0,296352427.0,213092855.00000003,0.0126
